row_id,duration,date,pulse,maxpulse,calories,total_numeric
1,60,'2020/12/01',110,130,409.1,170
2,60,'2020/12/02',117,145,479.0,177
3,60,'2020/12/03',103,135,340.0,163
4,45,'2020/12/04',109,175,282.4,154
5,45,'2020/12/05',117,148,406.0,162
6,60,'2020/12/06',102,127,300.0,162
7,60,'2020/12/07',110,136,374.0,170
8,450,'2020/12/08',104,134,253.3,554
9,30,'2020/12/09',109,133,195.1,139
10,60,'2020/12/10',98,124,269.0,158
11,60,'2020/12/11',103,147,329.3,163
12,60,'2020/12/12',100,120,250.7,160
13,60,'2020/12/13',106,128,345.3,166
14,60,'2020/12/14',104,132,379.3,164
15,60,'2020/12/15',98,123,275.0,158
16,60,'2020/12/16',98,120,215.2,158
17,60,'2020/12/17',100,120,300.0,160
18,45,'2020/12/18',90,112,291.2,135
19,60,'2020/12/19',103,123,323.0,163
20,45,'2020/12/20',97,125,243.0,142
21,60,'2020/12/21',108,131,364.2,168
22,45,'2020/12/12',100,119,282.0,145
23,60,'2020/12/23',130,101,300.0,190
24,45,'2020/12/24',105,132,246.0,150
25,60,'2020/12/25',102,126,334.5,162
26,60,20201226,100,120,250.0,160
27,60,'2020/12/27',92,118,241.0,152
28,60,'2020/12/28',103,132,291.2,163
29,60,'2020/12/29',100,132,280.0,160
30,60,'2020/12/30',102,129,380.3,162
31,60,'2020/12/31',92,115,243.0,152
